trialNum,trialSelect,trialType,trialStart,trialEnd
1,1,visual,0,3
2,2,auditory,3,6
3,3,motor,6,9
4,4,cognitive,9,12
5,2,auditory,12,15
6,4,cognitive,15,18
7,4,cognitive,18,21
8,1,visual,21,24
9,3,motor,24,27
10,1,visual,27,30
11,4,cognitive,30,33
12,5,blank,33,36
13,3,motor,36,39
14,1,visual,39,42
15,2,auditory,42,45
16,4,cognitive,45,48
17,5,blank,48,51
18,2,auditory,51,54
19,4,cognitive,54,57
20,5,blank,57,60
21,1,visual,60,63
22,3,motor,63,66
23,4,cognitive,66,69
24,3,motor,69,72
25,2,auditory,72,75
26,2,auditory,75,78
27,1,visual,78,81
28,2,auditory,81,84
29,2,auditory,84,87
30,1,visual,87,90
31,2,auditory,90,93
32,4,cognitive,93,96
33,1,visual,96,99
34,2,auditory,99,102
35,4,cognitive,102,105
36,5,blank,105,108
37,1,visual,108,111
38,2,auditory,111,114
39,1,visual,114,117
40,3,motor,117,120
41,3,motor,120,123
42,1,visual,123,126
43,4,cognitive,126,129
44,5,blank,129,132
45,1,visual,132,135
46,4,cognitive,135,138
47,5,blank,138,141
48,3,motor,141,144
49,3,motor,144,147
50,5,blank,147,150
51,2,auditory,150,153
52,3,motor,153,156
53,4,cognitive,156,159
54,3,motor,159,162
55,5,blank,162,165
56,1,visual,165,168
57,4,cognitive,168,171
58,5,blank,171,174
59,1,visual,174,177
60,4,cognitive,177,180
61,2,auditory,180,183
62,4,cognitive,183,186
63,3,motor,186,189
64,5,blank,189,192
65,2,auditory,192,195
66,3,motor,195,198
67,2,auditory,198,201
68,5,blank,201,204
69,4,cognitive,204,207
70,5,blank,207,210
71,4,cognitive,210,213
72,1,visual,213,216
73,3,motor,216,219
74,3,motor,219,222
75,5,blank,222,225
76,4,cognitive,225,228
77,1,visual,228,231
78,5,blank,231,234
79,2,auditory,234,237
80,5,blank,237,240
81,5,blank,240,243
82,3,motor,243,246
83,2,auditory,246,249
84,5,blank,249,252
85,5,blank,252,255
86,2,auditory,255,258
87,3,motor,258,261
88,2,auditory,261,264
89,3,motor,264,267
90,1,visual,267,270
91,3,motor,270,273
92,1,visual,273,276
93,5,blank,276,279
94,4,cognitive,279,282
95,3,motor,282,285
96,5,blank,285,288
97,4,cognitive,288,291
98,1,visual,291,294
99,2,auditory,294,297
100,1,visual,297,300
